"average.salary";"duration";"amount";"status"
"315";8968;48;154416;1
"316";12541;60;274740;1
"317";12541;24;168984;-1
"318";8994;36;217152;1
"319";8444;60;148920;1
"320";9622;48;69360;1
"321";12541;36;108144;1
"322";8819;36;182628;1
"323";10177;24;89880;1
"324";8754;60;392460;1
"325";9045;12;52788;1
"326";12541;60;419880;1
"327";8814;12;54024;1
"328";8110;24;129408;1
